Tổng thời gian: 9919.29 giây
Trung bình CER: 0.0464
Trung bình WER: 0.2862
Chi tiết từng ảnh:
Ảnh 365: Thời gian 2.640s, CER 0.0457, WER 0.2847
Ảnh 366: Thời gian 2.732s, CER 0.0403, WER 0.2602
Ảnh 367: Thời gian 2.672s, CER 0.0552, WER 0.3192
Ảnh 368: Thời gian 2.818s, CER 0.0417, WER 0.2607
Ảnh 369: Thời gian 2.646s, CER 0.0483, WER 0.3100
Ảnh 370: Thời gian 2.620s, CER 0.0489, WER 0.2735
Ảnh 371: Thời gian 2.622s, CER 0.0377, WER 0.2369
Ảnh 372: Thời gian 2.642s, CER 0.0442, WER 0.2670
Ảnh 373: Thời gian 2.581s, CER 0.0432, WER 0.2586
Ảnh 374: Thời gian 2.697s, CER 0.0447, WER 0.2793
Ảnh 375: Thời gian 2.588s, CER 0.0589, WER 0.3655
Ảnh 376: Thời gian 2.597s, CER 0.0439, WER 0.2763
Ảnh 377: Thời gian 2.519s, CER 0.0483, WER 0.2998
Ảnh 378: Thời gian 2.587s, CER 0.0549, WER 0.3244
Ảnh 379: Thời gian 2.632s, CER 0.0508, WER 0.3009
Ảnh 380: Thời gian 2.649s, CER 0.0454, WER 0.2847
Ảnh 381: Thời gian 2.594s, CER 0.0445, WER 0.2709
Ảnh 382: Thời gian 2.656s, CER 0.0481, WER 0.2972
Ảnh 383: Thời gian 2.579s, CER 0.0420, WER 0.2627
Ảnh 384: Thời gian 2.696s, CER 0.0441, WER 0.2789
Ảnh 385: Thời gian 2.541s, CER 0.0537, WER 0.3146
Ảnh 386: Thời gian 2.569s, CER 0.0401, WER 0.2460
Ảnh 387: Thời gian 2.592s, CER 0.0449, WER 0.2817
Ảnh 388: Thời gian 2.608s, CER 0.0478, WER 0.3046
Ảnh 389: Thời gian 2.616s, CER 0.0575, WER 0.3474
Ảnh 390: Thời gian 2.654s, CER 0.0538, WER 0.3126
Ảnh 391: Thời gian 2.681s, CER 0.0446, WER 0.2819
