Ảnh,Thời gian (s),CER,WER
659,2.402,0.0427,0.2774
660,2.418,0.0478,0.2876
661,2.474,0.0509,0.3190
662,2.438,0.0420,0.2449
663,2.445,0.0501,0.3018
664,2.388,0.0470,0.2667
665,2.400,0.0512,0.3182
666,2.388,0.0461,0.2889
667,2.415,0.0425,0.2674
668,2.380,0.0541,0.3100
669,2.478,0.0403,0.2517
670,2.437,0.0441,0.2851
671,2.386,0.0408,0.2696
672,2.461,0.0489,0.2904
673,2.347,0.0437,0.2912
674,2.427,0.0493,0.3122
675,2.358,0.0498,0.2941
676,2.436,0.0475,0.2870
677,2.356,0.0496,0.2982
678,2.405,0.0432,0.2642
679,2.441,0.0511,0.3278
680,2.397,0.0491,0.2920
681,2.424,0.0455,0.2900
682,2.346,0.0517,0.3162
683,2.368,0.0443,0.2700
684,2.493,0.0516,0.2989
685,2.373,0.0503,0.3208
686,2.485,0.0485,0.2952
687,2.383,0.0462,0.2972
688,2.465,0.0400,0.2582
689,2.435,0.0496,0.2961
690,2.333,0.0541,0.3198
691,2.420,0.0511,0.3025
692,2.456,0.0471,0.2937
693,2.425,0.0407,0.2619
694,2.390,0.0449,0.2768
695,2.449,0.0484,0.3057
696,2.458,0.0471,0.2952
697,2.403,0.0452,0.2803
698,2.437,0.0472,0.3033
699,2.420,0.0452,0.2795
700,2.438,0.0424,0.2661
701,2.340,0.0408,0.2614
702,2.356,0.0459,0.2821
703,2.378,0.0470,0.2857
704,2.360,0.0518,0.3126
705,2.441,0.0477,0.2921
706,2.437,0.0440,0.2811
707,2.420,0.0443,0.2945
708,2.367,0.0495,0.3103
709,2.354,0.0454,0.2831
710,2.409,0.0477,0.2926
711,2.424,0.0494,0.2982
712,2.368,0.0408,0.2482
713,2.397,0.0472,0.2687
714,2.416,0.0481,0.3066
715,2.403,0.0429,0.2606
716,2.503,0.0456,0.2851
717,2.485,0.0461,0.2735
718,2.360,0.0428,0.2708
719,2.419,0.0509,0.3154
720,2.424,0.0503,0.3134
721,2.359,0.0489,0.2936
722,2.417,0.0486,0.2970
723,2.449,0.0489,0.2900
724,2.611,0.0451,0.2953
725,2.477,0.0410,0.2535
726,2.420,0.0455,0.2793
727,2.542,0.0499,0.2984
728,3.043,0.0370,0.2530
729,2.868,0.0462,0.2814
730,2.876,0.0526,0.3149
731,3.028,0.0484,0.2754
732,2.882,0.0479,0.2873
733,2.945,0.0468,0.2920
734,2.846,0.0488,0.3018
735,2.779,0.0445,0.2670
736,2.705,0.0460,0.3072
737,2.605,0.0529,0.3279
738,2.853,0.0429,0.2650
739,2.649,0.0454,0.2642
740,2.517,0.0521,0.3072
741,2.570,0.0438,0.2697
742,2.867,0.0485,0.3059
743,2.613,0.0472,0.2815
744,2.530,0.0448,0.2734
745,2.463,0.0514,0.3043
746,2.601,0.0467,0.2966
747,2.570,0.0494,0.3141
748,4.320,0.0426,0.2620
749,2.756,0.0492,0.2854
750,2.411,0.0538,0.3257
751,3.241,0.0459,0.2731
752,2.416,0.0438,0.2770
753,2.459,0.0456,0.2754
754,2.566,0.0366,0.2329
755,2.535,0.0563,0.3479
756,2.499,0.0553,0.3381
757,2.482,0.0488,0.2916
758,2.446,0.0417,0.2544
759,2.424,0.0513,0.3031
760,2.420,0.0445,0.2736
761,2.384,0.0418,0.2770
762,2.409,0.0504,0.3221
763,2.411,0.0488,0.3063
764,2.408,0.0490,0.2936
765,2.429,0.0430,0.2880
766,2.410,0.0465,0.3005
767,2.387,0.0471,0.2967
768,2.386,0.0521,0.3341
769,2.404,0.0419,0.2616
770,2.493,0.0495,0.3002
771,2.367,0.0510,0.3098
772,2.422,0.0434,0.2776
773,2.449,0.0559,0.3319
774,2.397,0.0473,0.2648
775,2.453,0.0425,0.2573
776,2.415,0.0554,0.3433
777,2.394,0.0440,0.2626
778,2.395,0.0403,0.2477
779,2.471,0.0450,0.2867
780,2.416,0.0460,0.2952
781,2.388,0.0462,0.2736
782,2.355,0.0479,0.2935
783,2.339,0.0458,0.2706
784,2.443,0.0424,0.2727
785,2.432,0.0479,0.2909
786,2.437,0.0459,0.2851
787,2.393,0.0410,0.2437
788,2.388,0.0455,0.2787
789,2.365,0.0465,0.2950
790,2.374,0.0569,0.3364
791,2.364,0.0404,0.2369
792,2.509,0.0459,0.2819
793,2.402,0.0503,0.3287
794,2.411,0.0442,0.2896
795,2.419,0.0498,0.3018
796,2.352,0.0495,0.3018
797,2.424,0.0469,0.2881
798,2.400,0.0420,0.2489
799,2.431,0.0493,0.3260
800,2.418,0.0402,0.2523
801,2.479,0.0442,0.2764
802,2.409,0.0417,0.2604
803,2.413,0.0480,0.2998
804,2.383,0.0428,0.2676
805,2.403,0.0394,0.2500
806,2.456,0.0499,0.3034
807,2.428,0.0431,0.2629
808,2.385,0.0446,0.2943
809,2.487,0.0528,0.3256
810,2.391,0.0511,0.3151
811,2.445,0.0447,0.2910
812,2.358,0.0486,0.2864
813,2.459,0.0452,0.2844
814,2.452,0.0529,0.3172
815,2.335,0.0515,0.3096
816,2.411,0.0510,0.2961
817,2.452,0.0418,0.2622
818,2.463,0.0430,0.2691
819,2.386,0.0439,0.2733
820,2.413,0.0448,0.2693
821,2.432,0.0526,0.2998
822,2.384,0.0509,0.3126
823,2.419,0.0409,0.2617
824,2.414,0.0470,0.2850
825,2.417,0.0428,0.2776
826,2.431,0.0538,0.3295
827,2.416,0.0480,0.3048
828,2.421,0.0444,0.2707
829,2.409,0.0405,0.2593
830,2.415,0.0437,0.2765
831,2.446,0.0483,0.2831
832,2.406,0.0480,0.2929
833,2.406,0.0485,0.2943
834,2.402,0.0486,0.3115
835,2.409,0.0487,0.3063
836,2.421,0.0475,0.2974
837,2.388,0.0450,0.2745
838,2.456,0.0455,0.2906
839,2.365,0.0475,0.2972
840,2.377,0.0498,0.3041
841,2.401,0.0360,0.2385
842,2.398,0.0454,0.2697
843,2.702,0.0479,0.2984
844,2.428,0.0478,0.3103
845,2.453,0.0511,0.2925
846,2.472,0.0424,0.2677
847,2.319,0.0526,0.3158
848,2.437,0.0460,0.3005
849,2.387,0.0453,0.2594
850,2.450,0.0436,0.2657
851,2.422,0.0490,0.2960
852,2.445,0.0448,0.2794
853,2.403,0.0346,0.2299
854,2.382,0.0527,0.3265
855,2.358,0.0489,0.3129
856,2.490,0.0542,0.3203
857,2.449,0.0408,0.2648
858,2.422,0.0467,0.2785
859,2.573,0.0467,0.2940
